regime_type,regime,series,n,mean,p05,cvar05,shortfall_prob
return_regime,down,proto_gains,170,-0.003326122707221657,-0.014260636596009135,-0.019910997193720605,0.8117647058823529
return_regime,down,vanilla_gains,170,-0.006011407566941617,-0.014843533001840114,-0.018791531523068745,0.9882352941176471
return_regime,down,spot_delta_band_gains,170,-0.0029260245156525772,-0.016194717679172754,-0.0212538234061665,0.6941176470588235
return_regime,down,unhedged_gains,170,-0.00201186502681059,-0.010999113321304321,-0.017460293240017362,0.29411764705882354
return_regime,middle,proto_gains,169,-0.012667060867585683,-0.02479107342660427,-0.030481548772917852,1.0
return_regime,middle,vanilla_gains,169,-0.010964770570601277,-0.0194005586206913,-0.024692739877435897,1.0
return_regime,middle,spot_delta_band_gains,169,-0.009091528827088923,-0.020042264461517335,-0.02559037547972467,0.9408284023668639
return_regime,middle,unhedged_gains,169,-0.00914583333145232,-0.02088882923126221,-0.026126609908209905,0.834319526627219
return_regime,up,proto_gains,170,-0.03030226729289793,-0.05874990820884705,-0.06911465194490221,1.0
return_regime,up,vanilla_gains,170,-0.02504256987697719,-0.047733907029032706,-0.0565649022658666,0.9941176470588236
return_regime,up,spot_delta_band_gains,170,-0.024331589818329495,-0.0489352997392416,-0.06256190480457412,0.9823529411764705
return_regime,up,unhedged_gains,170,-0.025316807802985695,-0.05090765357017517,-0.06103746096293131,0.9764705882352941
vol_regime,low_vol,proto_gains,170,-0.015104986360187039,-0.03235387876629829,-0.0368924778368738,0.9941176470588236
vol_regime,low_vol,vanilla_gains,170,-0.012777217978830724,-0.026397199369966984,-0.03000164528687795,1.0
vol_regime,low_vol,spot_delta_band_gains,170,-0.010923823837519568,-0.025462312437593938,-0.029909890972905688,0.9588235294117647
vol_regime,low_vol,unhedged_gains,170,-0.011523736224454992,-0.027640175819396973,-0.031861437691582575,0.8941176470588236
vol_regime,mid_vol,proto_gains,169,-0.015026453493256674,-0.04365122839808464,-0.05111998195449511,0.9822485207100592
vol_regime,mid_vol,vanilla_gains,169,-0.01314518406584903,-0.035137026011943816,-0.0408925645881229,0.9940828402366864
vol_regime,mid_vol,spot_delta_band_gains,169,-0.011248152633860621,-0.03557965308427811,-0.041832827445533544,0.8461538461538461
vol_regime,mid_vol,unhedged_gains,169,-0.011653579903777534,-0.037987160682678225,-0.04488563537597656,0.6923076923076923
vol_regime,high_vol,proto_gains,170,-0.01617788979441256,-0.05602609664201736,-0.06822227148546113,0.8352941176470589
vol_regime,high_vol,vanilla_gains,170,-0.016109171931577078,-0.045297833718359465,-0.05597579975922903,0.9882352941176471
vol_regime,high_vol,spot_delta_band_gains,170,-0.01418985271208358,-0.04826944824308157,-0.06120878830552101,0.8117647058823529
vol_regime,high_vol,unhedged_gains,170,-0.013311941483441522,-0.049974650144577026,-0.06019967132144504,0.5176470588235295
drawdown_regime,mild_dd,proto_gains,170,-0.0075828028027899565,-0.040381880663335326,-0.050529090894593134,0.8117647058823529
drawdown_regime,mild_dd,vanilla_gains,170,-0.009529292973114506,-0.03128536567091942,-0.0412024168504609,0.9823529411764705
drawdown_regime,mild_dd,spot_delta_band_gains,170,-0.006721533249091248,-0.032077829539775844,-0.0482170470058918,0.6823529411764706
drawdown_regime,mild_dd,unhedged_gains,170,-0.005758800226099351,-0.03489251732826233,-0.04496388965182834,0.3352941176470588
drawdown_regime,mid_dd,proto_gains,169,-0.01586875001990826,-0.040759265422821045,-0.05367542141013675,1.0
drawdown_regime,mid_dd,vanilla_gains,169,-0.013725328678678523,-0.03413486257195473,-0.044069402747684054,1.0
drawdown_regime,mid_dd,spot_delta_band_gains,169,-0.01220600456566813,-0.031096102297306062,-0.047502613729900785,0.9349112426035503
drawdown_regime,mid_dd,unhedged_gains,169,-0.0121483365459555,-0.03562099933624267,-0.047049376699659556,0.7869822485207101
drawdown_regime,deep_dd,proto_gains,170,-0.02286273151060895,-0.04897797014564276,-0.06045753674374686,1.0
drawdown_regime,deep_dd,vanilla_gains,170,-0.01878036493983339,-0.03940418306738138,-0.048560219920343824,1.0
drawdown_regime,deep_dd,spot_delta_band_gains,170,-0.017439925791832674,-0.04080677032470703,-0.04941512395938238,1.0
drawdown_regime,deep_dd,unhedged_gains,170,-0.018585031172808478,-0.04272555112838745,-0.053216642803615995,0.9823529411764705
