model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.02863106814523538,0.0006055719182645394,-0.08794819861650466,-0.10686477273702621,0.902423051735429,1.0,0.027306177963813145,0.030435494433529792,0.03023903077930583,0.00019646365422396856,0.32154551407989523,30.666666666666668,0.09868116310392895,0.0007232084155161079,0.02432610124917817,,True,True,True,0.0009298846125602722,0.0006210673600435257,0.0006215634445349387,0.00017562136054039001,0.00912816574176152,0.005913481116294861,0.005958234270413712,0.0035389165083567348,-0.1899148657498363,-0.04060248853962023,-0.04191224623444667,0.038637851997380346
vanilla,vanilla,,,,,cvar,3,-0.02880668950577577,0.00042186362725172855,-0.08828351696332297,-0.11040368924538295,0.9410609037328094,1.0,0.025098033870259922,0.16596267190569744,0.16596267190569744,0.0,1.0,327.3333333333333,0.09913441907601611,9.861932938856015e-05,0.0039447731755424065,,True,True,True,0.0007542632520198822,0.0004454459995031357,0.0004459420839945487,0.0,0.005589249233404786,0.002374564607938126,0.0024193177620569772,0.0,-0.22855271774721664,-0.07924034053700058,-0.08055009823182702,0.0
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.02888794740041097,0.0005563640947301026,-0.08988152494033176,-0.10996359338363011,0.9122462344466274,0.9295381704966227,0.02539480912188689,0.018369351669941063,0.018369351669941063,0.0,0.30386378519973806,20.0,0.09878551264701291,0.0004437869822485207,0.01775147928994083,,True,True,True,0.0006730053573846817,0.0003641881048679352,0.0003646841893593482,-8.12578946352005e-05,0.006029345095157623,0.0028146604696909633,0.0028594136238098145,0.0004400958617528372,-0.1997380484610347,-0.05042567125081865,-0.05173542894564509,0.028814669286181926
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,3,-0.02891004520157973,0.0007316397846556605,-0.08764289170503616,-0.10874021301666896,0.890635232481991,0.8826087315877279,0.025721137101451557,0.0003929273084479371,0.0,0.0003929273084479371,0.003929273084479371,27.666666666666668,0.0988307967090264,0.0006738987508218278,0.005917159763313609,,True,True,True,0.0006509075562159197,0.0003420903036991732,0.0003425863881905862,-0.00010335569580396248,0.007252725462118775,0.004038040836652115,0.0040827939907709665,0.0016634762287139893,-0.1781270464963982,-0.02881466928618215,-0.03012442698100859,0.05042567125081843
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,3,-0.029020171612501144,0.0007365228177367383,-0.08917133162419001,-0.109893133242925,0.9096267190569746,0.9014797409375509,0.026666572627921898,0.013343156516044534,0.013146692861820563,0.00019646365422396856,0.15651604453176163,43.666666666666664,0.09912831147177785,0.00018080210387902697,0.006574621959237344,,True,True,True,0.0005407811452945062,0.00023196389277775967,0.00023245997726917267,-0.00021348210672537601,0.006099805235862732,0.002885120610396072,0.002929873764514923,0.0005105560024579459,-0.19711853307138183,-0.04780615586116577,-0.04911591355599221,0.03143418467583481
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.02907004269460837,0.0005355115368379581,-0.0892443706591924,-0.11174506445725758,0.9102815979043877,1.0,0.02195102535188198,0.012475442043222004,0.012475442043222004,0.0,0.11198428290766209,270.6666666666667,0.09921617682618478,0.0007232084155161079,0.008547008547008546,,True,True,True,0.000490910063187279,0.00018209281067053246,0.00018258889516194546,-0.0002633531888326032,0.004247874021530151,0.0010331893960634914,0.0010779425501823425,-0.0013413752118746347,-0.19777341191879494,-0.048461034708578876,-0.04977079240340532,0.0307793058284217
proto_source=vanilla_k=25_weighted=1_learnw=0,proto,vanilla,25.0,True,False,cvar,3,-0.029116306453943253,0.0002944771457646396,-0.09002232899268468,-0.11151302854220073,0.9528487229862476,0.8566563725471497,0.020648510816196602,0.03518336607727571,0.03518336607727571,0.0,0.3536345776031434,372.3333333333333,0.0996341230114922,0.0,0.0,,True,True,True,0.00044464630385239803,0.0001358290513356515,0.00013632513582706451,-0.00030961694816748417,0.0044799099365870065,0.0012652253111203465,0.0013099784652391977,-0.0011093392968177795,-0.24034053700065483,-0.09102815979043877,-0.09233791748526521,-0.011787819253438192
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,3,-0.02922024081150691,0.0005310181485897333,-0.09065387248992919,-0.11216295013825099,0.9639816633922725,0.7158010403315226,0.02020506126185258,0.025098231827111985,0.025098231827111985,0.0,0.23903077930582842,9.0,0.09944609033200709,0.000410913872452334,0.013149243918474688,,True,True,True,0.0003407119462887423,3.1894693771995775e-05,3.2390778263408776e-05,-0.0004135513057311399,0.003829988340536744,0.0006153037150700841,0.0006600568691889352,-0.001759260892868042,-0.2514734774066798,-0.10216110019646374,-0.10347085789129018,-0.022920759659463164
proto_source=vanilla_k=10_weighted=1_learnw=0,proto,vanilla,10.0,True,False,cvar,3,-0.029226607953508694,0.000551891676252537,-0.090651768942674,-0.11221686005592346,0.9679109364767519,0.7555238803227743,0.02182728983461857,3.2743942370661426e-05,3.2743942370661426e-05,0.0,0.001309757694826457,262.0,0.09972460318346037,8.21827744904668e-05,0.003287310979618672,,True,True,True,0.0003343448042869568,2.5527551770210266e-05,2.6023636261623267e-05,-0.0004199184477329254,0.0037760784228642735,0.0005613937973976135,0.0006061469515164647,-0.0018131708105405125,-0.2554027504911591,-0.10609037328094306,-0.1074001309757695,-0.026850032743942487
proto_source=vanilla_k=100_weighted=1_learnw=0,proto,vanilla,100.0,True,False,cvar,3,-0.029230956609050434,0.00032173091556491457,-0.09147691279649735,-0.11276752253373463,0.9286182056319582,0.8052693406740824,0.021011240780353546,0.0593320235756385,0.0593320235756385,0.0,0.34446627373935823,158.0,0.09975453458260745,0.0,0.0,,True,True,True,0.0003299961487452166,2.117889622847008e-05,2.167498071988308e-05,-0.0004242671032746656,0.0032254159450531006,1.073131958644058e-05,5.548447370529175e-05,-0.0023638332883516855,-0.21611001964636545,-0.06679764243614938,-0.06810740013097583,0.01244269810085119
