ticker,best_mean_model,best_cvar_model,lowest_bound_model
AAPL,ProtoHedge (Mean frontier),ProtoHedge (Tail frontier),Unhedged
IWM,ProtoHedge (Mean frontier),ProtoHedge (Tail frontier),Unhedged
NVDA,ProtoHedge (Mean frontier),ProtoHedge (Tail frontier),Unhedged
QQQ,ProtoHedge (Mean frontier),ProtoHedge (Mean frontier),Unhedged
SPY,ProtoHedge (Mean frontier),ProtoHedge (Mean frontier),Unhedged
TLT,ProtoHedge (Mean frontier),ProtoHedge (Tail frontier),Unhedged
XLE,Unhedged,ProtoHedge (Tail frontier),Unhedged
XLF,Spot-Delta Band,ProtoHedge (Tail frontier),Unhedged
XLK,ProtoHedge (Mean frontier),ProtoHedge (Tail frontier),Unhedged
XLV,ProtoHedge (Mean frontier),ProtoHedge (Tail frontier),Unhedged
