prototype_index,nearest_rank,distance_scaled,path_index,step_index,delta_0,delta_1,price_0,price_1,time_left
8,1,0.5284703969955444,315,11,0.5611569881439209,-0.0012325262650847435,1.0464167594909668,0.018263056874275208,0.0357142873108387
8,2,0.5397327542304993,291,4,0.5218529105186462,-0.0006899934378452599,1.0602245330810547,0.018477965146303177,0.0634920671582222
8,3,0.5454520583152771,235,4,0.4697751998901367,-0.0008102967403829098,1.042972207069397,0.019152777269482613,0.0634920671582222
11,1,1.8327049016952515,497,5,0.4701268672943115,-0.001277327537536621,0.9940013885498047,0.05998588725924492,0.0595238134264946
11,2,1.8450007438659668,497,6,0.5641522407531738,-0.0015327930450439453,1.035638689994812,0.06986591219902039,0.055555559694767
11,3,1.9357986450195312,131,5,0.4701268672943115,-0.001277327537536621,0.9833922386169434,0.060777388513088226,0.0595238134264946
16,1,0.36434459686279297,36,5,0.5231833457946777,-0.00111258658580482,1.0128684043884277,0.02553117461502552,0.0595238134264946
16,2,0.3661508858203888,237,6,0.5548010468482971,-0.0009919500444084406,1.0171996355056763,0.02307901531457901,0.055555559694767
16,3,0.38510414958000183,324,8,0.5480585694313049,-0.0009169804397970438,1.0247770547866821,0.02319127693772316,0.0476190522313118
21,1,1.616844654083252,372,7,0.6581776142120361,-0.0017882585525512695,0.8491694331169128,0.0672757476568222,0.0515873059630394
21,2,1.7381658554077148,372,6,0.5641522407531738,-0.0015327930450439453,0.8923588395118713,0.07009966671466827,0.055555559694767
21,3,2.2063660621643066,372,8,0.7522029876708984,-0.0020437240600585938,0.8860465288162231,0.05863787233829498,0.0476190522313118
