k,prototype_index,usage_mean,cum_usage_mean
1,8,0.20830853283405304,0.20830853283405304
2,21,0.20138263702392578,0.4096911698579788
3,16,0.17436723411083221,0.584058403968811
4,11,0.08377192169427872,0.6678303256630898
5,18,0.07931654155254364,0.7471468672156334
6,10,0.07546252757310867,0.8226093947887421
7,4,0.06907954066991806,0.8916889354586601
8,17,0.050199877470731735,0.9418888129293919
9,23,0.030476288869976997,0.9723651017993689
10,3,0.02358524687588215,0.995950348675251
11,14,0.001594393397681415,0.9975447420729324
12,13,0.0011793514713644981,0.9987240935442969
13,0,0.0009675865294411778,0.9996916800737381
14,2,0.00026520408573560417,0.9999568841594737
15,19,3.611505599110387e-05,0.9999929992154648
16,24,3.3659287055343157e-06,0.9999963651441703
17,5,1.612357209523907e-06,0.9999979775013799
18,6,9.304245622843155e-07,0.9999989079259421
19,12,3.7736821667522236e-08,0.9999989456627638
20,7,4.570941847248378e-09,0.9999989502337057
21,22,2.491545858518407e-09,0.9999989527252515
22,20,2.374381802283665e-09,0.9999989550996333
23,1,1.0342984246847209e-09,0.9999989561339317
24,15,1.5717202539455855e-10,0.9999989562911038
25,9,5.001765668311009e-11,0.9999989563411215
