regime_type,regime,series,n,mean,p05,cvar05,shortfall_prob
return_regime,down,proto_gains,170,-0.0021139373966862504,-0.008258731523528694,-0.010653215667439831,0.7176470588235294
return_regime,down,vanilla_gains,170,-0.002795143775309792,-0.008061122428625823,-0.010150803873936335,0.8647058823529412
return_regime,down,spot_delta_band_gains,170,-0.0019485681151041611,-0.011593084409832954,-0.01615501878162225,0.6470588235294118
return_regime,down,unhedged_gains,170,-0.0008500379674574908,-0.005891048908233642,-0.008166856235928006,0.19411764705882353
return_regime,middle,proto_gains,169,-0.023548029115170063,-0.03649692758917809,-0.03852161723706457,1.0
return_regime,middle,vanilla_gains,169,-0.023255684506699178,-0.03516013100743294,-0.035447372744480767,1.0
return_regime,middle,spot_delta_band_gains,169,-0.023887089690601333,-0.03724090084433555,-0.03984437303410636,1.0
return_regime,middle,unhedged_gains,169,-0.024460513916241346,-0.03664309978485107,-0.0370488166809082,1.0
return_regime,up,proto_gains,170,-0.06086599914466634,-0.10371540673077106,-0.1159793809056282,1.0
return_regime,up,vanilla_gains,170,-0.06137229539453983,-0.10652916207909584,-0.11878518677420086,1.0
return_regime,up,spot_delta_band_gains,170,-0.06371828537872609,-0.10856745578348637,-0.12471026678880055,1.0
return_regime,up,unhedged_gains,170,-0.06467082290088429,-0.11152620911598204,-0.12537454234229195,1.0
vol_regime,low_vol,proto_gains,170,-0.025158608416420654,-0.057020398788154125,-0.07020818235145675,0.9411764705882353
vol_regime,low_vol,vanilla_gains,170,-0.025118888562171968,-0.05677556917071342,-0.07043362533052762,0.9529411764705882
vol_regime,low_vol,spot_delta_band_gains,170,-0.025646692778194417,-0.060919150896370414,-0.0718986156086127,0.9117647058823529
vol_regime,low_vol,unhedged_gains,170,-0.026289565422955682,-0.05987798571586609,-0.07421186235215929,0.8588235294117647
vol_regime,mid_vol,proto_gains,169,-0.0310253516998908,-0.08693480342626571,-0.10076917625135845,0.8698224852071006
vol_regime,mid_vol,vanilla_gains,169,-0.0315985925006198,-0.08671730905771255,-0.10220082435343,0.9526627218934911
vol_regime,mid_vol,spot_delta_band_gains,169,-0.0318763832717825,-0.08859089761972427,-0.10165861414538489,0.863905325443787
vol_regime,mid_vol,unhedged_gains,169,-0.032754529157333824,-0.09177703857421875,-0.10754499170515272,0.7396449704142012
vol_regime,high_vol,proto_gains,170,-0.03038798979070955,-0.09485409036278725,-0.11060091356436412,0.9058823529411765
vol_regime,high_vol,vanilla_gains,170,-0.030754718543133042,-0.09956384673714638,-0.11495473898119396,0.9588235294117647
vol_regime,high_vol,spot_delta_band_gains,170,-0.03207786297904985,-0.10581804439425468,-0.12199103915029103,0.8705882352941177
vol_regime,high_vol,unhedged_gains,170,-0.030986068529241226,-0.10465412735939025,-0.12113213539123535,0.5941176470588235
drawdown_regime,mild_dd,proto_gains,170,-0.014045650030482863,-0.06422423813492059,-0.09146988888581593,0.7823529411764706
drawdown_regime,mild_dd,vanilla_gains,170,-0.014883728335981313,-0.06403059437870978,-0.09719411118163003,0.9235294117647059
drawdown_regime,mild_dd,spot_delta_band_gains,170,-0.014695208809044904,-0.07583217173814774,-0.10884188281165229,0.7470588235294118
drawdown_regime,mild_dd,unhedged_gains,170,-0.013653717321508071,-0.06798293590545654,-0.10249405437045628,0.37058823529411766
drawdown_regime,mid_dd,proto_gains,169,-0.03128057300705895,-0.0886029064655304,-0.09824704047706392,0.9408284023668639
drawdown_regime,mid_dd,vanilla_gains,169,-0.03119580113746091,-0.08740147799253464,-0.09933971613645554,0.9585798816568047
drawdown_regime,mid_dd,spot_delta_band_gains,169,-0.03236851974408702,-0.09317706823348999,-0.1024262946512964,0.9171597633136095
drawdown_regime,mid_dd,unhedged_gains,169,-0.032798763562941695,-0.09112083911895752,-0.10458211104075114,0.863905325443787
drawdown_regime,deep_dd,proto_gains,170,-0.041247228171286066,-0.0931709386408329,-0.10565784987476137,0.9941176470588236
drawdown_regime,deep_dd,vanilla_gains,170,-0.04139030077152283,-0.09187863320112229,-0.1055908054113388,0.9823529411764705
drawdown_regime,deep_dd,spot_delta_band_gains,170,-0.042540105396320166,-0.09508491270244121,-0.10838543706470066,0.9823529411764705
drawdown_regime,deep_dd,unhedged_gains,170,-0.0435779424274669,-0.09751468300819396,-0.11134305265214708,0.9588235294117647
