prototype_index,delta_1,delta_2,price_1,price_2,time_left,action_1,action_2
274,0.6281444,0.027092226,1.0546099,0.05025245,0.099999994,-0.14913225,0.008246899
58,0.8931905,0.0031449646,1.1369168,0.04029127,0.099999994,-0.062389374,0.017213821
112,0.8563919,-0.011628479,1.1250833,0.056136362,0.060000002,-0.11355686,-0.048929214
480,0.36780074,0.05531787,0.9896847,0.037995335,0.019999996,0.06323671,-0.11462927
22,0.30050617,0.07371695,0.93890303,0.0312166,0.040000007,-0.14083576,0.042539597
200,0.36553207,0.03120803,0.96194524,0.042027887,0.08,0.030567646,-0.03938341
147,0.64037246,0.029977553,1.06719,0.041552942,0.060000002,0.016530514,-0.13544178
357,0.28552037,0.08365695,0.93028253,0.014493668,0.040000007,-0.3362093,-0.008144379
220,0.38130713,0.04925603,0.95152956,0.018417817,0.040000007,-0.08916235,0.03016615
108,0.45886248,0.066454895,0.9815644,0.017519884,0.040000007,0.032269478,0.04373741
